No.;Ticker;Company;Sector;Industry;Country;Market Cap;P/E;P/B;P/Free Cash Flow;EPS growth this year;EPS growth past 5 years;EPS growth quarter over quarter;Sales growth quarter over quarter;Shares Float;Insider Ownership;Return on Equity;Total Debt/Equity;Gross Margin;Profit Margin
434;TIF;Tiffany & Co.;Services;Jewelry Stores;USA;08120;26.20;4.21;51.22;164.50;12.00;-16.50;-4.90;128.30;0.50;16.10;0.38;59.90;11.00
435;TJX;The TJX Companies, Inc.;Services;Department Stores;USA;78450;21.03;10.68;29.17;7.10;17.30;7.80;5.80;676.74;0.50;52.00;0.38;28.60;7.60
436;TMK;Torchmark Corporation;Financial;Life Insurance;USA;4070;14.46;1.53;9.45;7.90;14.60;-3.10;-0.20;123.62;1.40;11.40;0.26;-;13.40
437;TMO;Thermo Fisher Scientific, Inc.;Healthcare;Medical Laboratories & Research;USA;36520;30.52;2.63;27.02;34.60;19.30;-29.40;0.40;397.31;0.30;8.50;0.75;45.50;10.30
438;TRIP;TripAdvisor Inc.;Technology;Internet Information Providers;USA;65120;58.38;10.70;44.39;9.90;15.00;-8.50;29.20;112.17;14.55;20.00;0.28;96.60;16.60
439;TROW;T. Rowe Price Group, Inc.;Financial;Asset Management;USA;34200;17.50;4.04;28.09;16.70;22.50;0.90;7.60;252.07;2.20;23.30;0.00;-;30.00
440;TRV;The Travelers Companies, Inc.;Financial;Property & Casualty Insurance;USA;17310;9.49;1.26;12.68;9.90;11.10;-13.60;-1.20;317.23;0.40;13.70;0.26;-;12.70
441;TSCO;Tractor Supply Company;Services;Specialty Retail, Other;USA;65120;33.83;9.62;55.42;14.70;26.50;20.00;12.50;135.75;0.30;29.80;0.05;34.10;6.50
442;TSN;Tyson Foods, Inc.;Consumer Goods;Meat Products;USA;12180;17.37;1.93;22.15;2.60;29.30;25.00;10.50;330.77;0.40;11.90;0.82;8.10;2.50
443;TSO;Tesoro Corporation;Basic Materials;Oil & Gas Refining & Marketing;USA;78100;11.81;2.36;29.37;133.20;53.80;93.20;-34.90;124.83;0.70;20.30;0.91;12.90;2.40
444;TSS;Total System Services, Inc.;Financial;Credit Services;USA;8370;26.07;4.55;29.73;14.10;5.40;68.00;11.70;179.91;0.90;20.80;0.84;32.60;13.80
445;TWC;Time Warner Cable Inc.;Services;CATV Systems;USA;08500;25.24;6.13;43.36;6.80;18.40;-4.70;3.50;282.65;0.10;31.30;2.86;69.70;10.70
446;TWX;Time Warner Inc.;Services;Entertainment - Diversified;USA;73720;21.78;3.02;54.44;24.30;20.20;-26.70;4.80;823.69;0.10;19.20;0.93;41.80;17.30
447;TXN;Texas Instruments Inc.;Technology;Semiconductor - Broad Line;USA;97550;19.49;5.43;24.83;34.60;17.40;38.60;5.60;0410;0.30;32.80;0.45;57.80;25.90
448;TXT;Textron Inc.;Industrial Goods;Aerospace/Defense - Major Diversified;USA;68120;19.86;2.89;17.04;22.90;57.50;48.40;7.90;277.37;0.30;14.40;0.88;17.90;4.60
449;TYC;Tyco International Ltd.;Services;Security & Protection Services;Ireland;51160;24.97;3.94;138.73;81.90;19.50;4.90;-2.00;419.05;0.50;35.50;0.48;36.60;16.40
450;UA;Under Armour, Inc.;Consumer Goods;Textile - Apparel Clothing;USA;36180;91.56;13.20;1008.84;26.70;32.80;-16.70;25.50;178.69;0.70;16.10;0.49;48.90;6.30
451;UHS;Universal Health Services Inc.;Healthcare;Hospitals;USA;95130;24.36;3.56;20.44;5.40;15.50;25.40;14.80;90.32;0.70;15.70;0.80;-;6.90
452;UNH;UnitedHealth Group Incorporated;Healthcare;Health Care Plans;USA;451160;20.39;3.66;19.66;3.60;12.00;30.40;12.80;936.40;0.80;18.30;0.58;-;4.40
453;UNM;Unum Group;Financial;Accident & Health Insurance;USA;0890;24.26;1.05;9.38;-50.80;-9.20;-3.40;1.40;248.22;0.50;4.30;0.32;-;3.70
454;UNP;Union Pacific Corporation;Services;Railroads;USA;22850;16.52;4.05;90.94;22.10;25.20;9.20;-0.40;877.42;0.20;24.60;0.58;75.90;21.90
455;UPS;United Parcel Service, Inc.;Services;Air Delivery & Freight Services;USA;17890;28.85;48.98;62.23;-28.90;10.80;14.30;1.40;701.08;0.03;83.00;7.16;77.10;5.40
456;URBN;Urban Outfitters Inc.;Services;Apparel Stores;USA;5340;20.93;3.34;54.80;-11.10;5.60;-3.80;7.70;95.33;20.50;16.80;0.00;35.00;6.70
457;URI;United Rentals, Inc.;Services;Rental & Leasing Services;USA;6980;15.53;5.81;56.77;41.50;48.20;107.10;11.60;96.22;0.80;34.40;5.40;43.10;10.20
458;USB;U.S. Bancorp;Financial;Regional - Midwest Banks;USA;01790;14.28;2.01;30.78;2.70;26.00;4.10;1.30;7710;0.10;14.50;0.89;-;45.80
459;UTX;United Technologies Corporation;Industrial Goods;Aerospace/Defense Products & Services;USA;861000;16.03;3.52;34.60;9.80;10.60;19.70;-1.40;888.98;0.10;20.20;0.77;27.30;9.90
460;V;Visa Inc.;Financial;Credit Services;USA;911670;29.97;5.42;34.65;13.20;25.20;-42.90;-46.00;3120;0.10;20.00;0.00;-;42.00
461;VAR;Varian Medical Systems, Inc.;Healthcare;Medical Appliances & Equipment;USA;5180;21.28;5.10;25.83;-3.80;7.60;19.30;-2.50;99.56;0.20;24.90;0.31;43.00;13.50
462;VFC;V.F. Corporation;Consumer Goods;Textile - Apparel Clothing;USA;97290;29.63;6.13;55.95;-12.20;18.20;0.00;2.00;422.19;0.50;18.80;0.51;48.70;8.40
463;VIAB;Viacom, Inc.;Services;Entertainment - Diversified;USA;42260;15.86;11.62;14.82;11.70;14.50;-111.50;-3.00;354.40;0.70;52.90;5.74;47.90;12.90
464;VLO;Valero Energy Corporation;Basic Materials;Oil & Gas Refining & Marketing;USA;67300;8.26;1.49;11.89;40.80;73.40;21.40;-36.60;506.42;0.20;18.30;0.36;11.50;3.20
465;VMC;Vulcan Materials Company;Industrial Goods;General Building Materials;USA;49110;99.52;2.76;560.28;875.00;57.70;-168.30;9.90;132.27;0.20;2.60;0.55;20.70;3.60
466;VNO;Vornado Realty Trust;Financial;REIT - Diversified;USA;09180;64.04;3.61;-;589.70;50.30;24.10;7.90;171.08;2.80;16.60;1.91;59.60;32.40
467;VRSN;VeriSign, Inc.;Technology;Internet Information Providers;USA;3770;24.91;-;13.37;-27.80;40.50;3.10;3.90;115.47;0.70;-43.50;-;81.50;34.20
468;VRTX;Vertex Pharmaceuticals Incorporated;Healthcare;Biotechnology;USA;29310;-;31.46;-;-39.70;3.30;17.00;16.90;242.37;0.50;-85.60;0.85;93.30;-
469;VTR;Ventas, Inc.;Financial;REIT - Healthcare Facilities;USA;46200;41.49;1.78;108.46;-7.20;4.30;-12.50;19.20;329.29;0.40;5.00;1.03;60.60;14.80
470;VZ;Verizon Communications Inc.;Technology;Telecom Services - Domestic;USA;481930;19.85;20.90;-;-39.50;7.10;-11.30;3.80;0840;0.01;74.50;12.14;60.40;7.70
471;WAT;Waters Corporation;Healthcare;Medical Instruments & Supplies;USA;77100;24.11;5.81;24.25;-2.50;8.70;40.20;6.90;79.13;3.00;24.60;0.80;59.10;22.70
472;WBA;Walgreens Boots Alliance, Inc.;Services;Drug Stores;USA;20940;26.01;2.92;36.36;-21.90;-0.20;162.20;35.50;871.43;13.10;14.50;0.55;27.10;4.00
473;WDC;Western Digital Corporation;Technology;Data Storage Devices;USA;85190;13.14;2.15;13.24;67.80;26.30;5.20;-4.10;224.24;0.10;17.30;0.25;29.00;10.40
474;WEC;Wisconsin Energy Corp.;Utilities;Electric Utilities;USA;33100;18.03;2.29;386.73;3.20;10.30;-5.50;-18.10;225.12;0.20;13.00;1.14;83.80;12.30
475;WFC;Wells Fargo & Company;Financial;Money Center Banks;USA;382940;13.98;1.77;29.21;5.40;18.60;-1.00;3.00;1450;0.08;13.20;1.10;-;45.20
476;WFM;Whole Foods Market, Inc.;Services;Grocery Stores;USA;58140;24.52;3.64;76.35;6.10;30.00;13.20;9.80;355.32;0.30;15.50;0.02;35.50;4.00
477;WHR;Whirlpool Corp.;Consumer Goods;Appliances;USA;02140;20.87;2.91;48.34;-20.20;13.50;18.30;11.10;78.06;0.20;13.50;0.96;17.20;3.30
478;WIN;Windstream Holdings, Inc.;Technology;Telecom Services - Domestic;USA;0.70675B;-;7.38;-;-119.10;-15.80;-66.70;-3.20;99.96;0.70;-16.00;92.85;49.80;-0.90
479;WM;Waste Management, Inc.;Industrial Goods;Waste Management;USA;48210;23.24;3.88;49.61;0.40;6.80;-157.10;-10.50;456.09;0.20;16.60;1.66;44.30;6.90
480;WMB;Williams Companies, Inc.;Basic Materials;Oil & Gas Pipelines;USA;38410;20.31;5.03;-;356.30;52.80;-55.00;-1.90;747.66;0.20;24.10;2.74;64.40;26.90
481;WMT;Wal-Mart Stores Inc.;Services;Discount, Variety Stores;USA;432310;14.70;3.03;26.80;2.50;5.90;-6.40;-0.10;5710;44.70;25.00;0.66;24.90;4.10
482;WU;The Western Union Company;Financial;Credit Services;USA;78100;12.96;8.06;15.88;11.20;5.60;5.40;-2.20;514.79;0.20;69.70;2.76;41.30;15.30
483;WY;Weyerhaeuser Co.;Industrial Goods;Lumber, Wood Production;USA;50160;25.09;3.33;323.44;70.70;28.50;-41.40;-0.90;510.45;0.10;29.10;1.08;21.70;22.90
484;WYN;Wyndham Worldwide Corporation;Services;Lodging;USA;9890;18.35;9.30;20.28;30.30;21.00;44.90;5.80;118.73;1.80;68.30;4.82;52.70;16.70
485;WYNN;Wynn Resorts Ltd.;Services;Resorts & Casinos;USA;9590;21.73;-;-;0.10;111.40;-119.80;-27.80;81.26;19.90;-;-;39.00;9.20
486;XEC;Cimarex Energy Co.;Basic Materials;Independent Oil & Gas;USA;84100;-;2.43;-;-10.50;28.20;-404.40;-39.80;92.29;0.70;1.90;0.37;73.70;3.80
487;XEL;Xcel Energy Inc.;Utilities;Electric Utilities;USA;18160;17.73;1.58;-;6.30;6.40;-42.30;-7.50;506.13;0.20;9.00;1.25;89.00;8.00
488;XL;XL Group plc;Financial;Property & Casualty Insurance;Ireland;53110;-;0.94;18.25;-81.00;2.50;-84.60;-20.00;304.39;0.70;-0.30;0.26;-;-0.50
489;XLNX;Xilinx Inc.;Technology;Semiconductor - Integrated Circuits;USA;82110;19.44;4.56;25.97;7.30;12.70;-5.70;-8.20;257.99;0.10;23.80;0.60;70.20;27.30
490;XOM;Exxon Mobil Corporation;Basic Materials;Major Integrated Oil & Gas;USA;923500;12.60;2.06;-;3.00;13.80;-44.30;-36.40;1840;0.10;16.00;0.19;25.10;7.90
491;XRAY;DENTSPLY International Inc.;Healthcare;Medical Instruments & Supplies;USA;3270;24.00;3.38;17.10;3.70;4.10;-10.00;-10.10;139.33;0.20;13.10;0.61;55.40;11.00
492;XRX;Xerox Corporation;Technology;Information Technology Services;USA;13120;12.80;1.20;10.51;0.00;10.40;-27.30;-6.30;0310;0.10;10.40;0.74;32.60;6.10
493;XYL;Xylem Inc.;Industrial Goods;Diversified Machinery;USA;7060;19.25;3.38;32.54;48.80;5.20;29.60;-7.60;180.59;0.40;16.50;0.64;38.60;9.20
494;YHOO;Yahoo! Inc.;Technology;Internet Information Providers;USA;54380;5.72;1.14;-;494.40;77.90;-96.40;8.20;864.67;0.40;23.70;0.04;69.40;-
495;YUM;Yum! Brands, Inc.;Services;Restaurants;USA;51390;40.79;23.43;176.40;-2.10;0.90;-8.00;-3.70;431.21;0.10;50.60;1.98;26.90;7.70
496;ZION;Zions Bancorporation;Financial;Regional - Pacific Banks;USA;5560;19.40;1.01;35.44;5.10;16.70;-9.80;-4.10;199.21;1.10;5.20;0.17;-;17.80
497;ZMH;Zimmer Holdings, Inc.;Healthcare;Medical Appliances & Equipment;USA;30190;28.82;2.93;29.30;-5.40;4.80;-20.90;-2.30;170.02;0.20;10.40;1.38;73.70;14.50
498;ZTS;Zoetis Inc.;Healthcare;Drugs - Generic;USA;69270;46.93;21.72;73.44;14.90;50.80;6.50;0.50;499.26;0.01;45.50;2.85;63.80;12.40
