No.;Ticker;Company;Sector;Industry;Country;Market Cap;P/E;P/B;P/Free Cash Flow;EPS growth this year;EPS growth past 5 years;EPS growth quarter over quarter;Sales growth quarter over quarter;Shares Float;Insider Ownership;Return on Equity;Total Debt/Equity;Gross Margin;Profit Margin
326;NFLX;Netflix, Inc.;Services;CATV Systems;USA;27400;172.98;21.05;-;133.50;16.90;-55.80;23.90;59.51;0.10;13.40;1.26;32.30;4.10
327;NFX;Newfield Exploration Co.;Basic Materials;Independent Oil & Gas;USA;1360;30.84;1.29;-;-60.60;25.60;-;-38.90;161.64;0.50;3.70;0.74;81.60;6.50
328;NI;NiSource Inc.;Utilities;Diversified Utilities;USA;77140;27.70;2.26;-;7.00;14.90;0.00;-7.40;315.82;0.60;8.60;1.34;68.70;8.40
329;NKE;NIKE, Inc.;Consumer Goods;Textile - Apparel Footwear & Accessories;USA;46900;30.06;7.33;31.71;11.20;14.50;20.00;7.00;680.89;0.20;26.90;0.10;45.80;10.20
330;NLSN;Nielsen N.V.;Technology;Information & Delivery Services;USA;77160;44.68;3.55;62.35;-12.30;21.40;13.30;-2.10;328.43;10.50;7.30;1.54;58.40;6.20
331;NOC;Northrop Grumman Corporation;Industrial Goods;Aerospace/Defense - Major Diversified;USA;42310;17.01;4.75;27.66;16.80;17.00;-8.40;1.90;192.69;0.40;23.10;0.95;23.40;8.20
332;NOV;National Oilwell Varco, Inc.;Basic Materials;Oil & Gas Equipment & Services;USA;99180;9.45;1.05;25.03;12.00;10.10;-40.60;-1.40;387.32;0.10;10.80;0.22;26.70;10.40
333;NRG;NRG Energy, Inc.;Utilities;Diversified Utilities;USA;1280;1218.00;0.86;17.86;118.90;-41.80;-105.60;9.80;331.43;0.70;0.10;2.15;25.30;0.10
334;NSC;Norfolk Southern Corporation;Services;Railroads;USA;06270;14.25;2.24;693.81;5.60;18.20;-15.30;-4.50;303.75;0.30;15.80;0.73;38.90;16.80
335;NTAP;NetApp, Inc.;Technology;Data Storage Devices;USA;9690;18.55;2.95;11.25;-4.40;9.10;-25.40;-6.60;301.49;0.73;15.70;0.44;62.60;9.10
336;NTRS;Northern Trust Corporation;Financial;Asset Management;USA;13180;22.13;2.21;107.66;11.00;1.00;25.30;7.60;232.25;0.40;10.20;11.29;96.30;18.10
337;NUE;Nucor Corporation;Basic Materials;Steel & Iron;USA;09150;22.63;1.99;19.02;46.10;34.30;-40.00;-13.90;317.68;0.50;8.70;0.58;8.90;3.30
338;NVDA;NVIDIA Corporation;Technology;Semiconductor - Specialized;USA;39110;18.90;2.55;16.47;51.40;62.50;0.00;4.40;509.65;0.70;14.40;0.31;56.00;13.30
339;NWL;Newell Rubbermaid Inc.;Consumer Goods;Housewares & Accessories;USA;11110;30.18;6.59;56.06;-6.30;6.70;16.70;4.10;267.09;0.50;22.50;1.67;38.70;7.50
340;NWSA;News Corporation;Services;Broadcasting - TV;USA;5380;35.12;0.69;26.64;-52.90;-37.83;-50.00;-0.80;499.65;0.77;1.90;0.00;-;2.80
341;OI;Owens-Illinois, Inc.;Consumer Goods;Packaging & Containers;USA;8230;64.11;4.25;16.42;-51.60;1.00;-29.50;-13.30;159.98;0.80;3.20;4.00;18.30;0.70
342;OKE;ONEOK Inc.;Utilities;Gas Utilities;USA;2180;28.69;15.54;-;14.30;1.70;-34.10;-42.90;206.93;0.70;46.90;16.65;19.00;2.60
343;OMC;Omnicom Group Inc.;Services;Advertising Agencies;USA;25170;15.94;7.28;17.75;16.40;11.30;6.40;-0.90;242.65;0.60;44.70;1.93;25.80;8.60
344;ORCL;Oracle Corporation;Technology;Application Software;USA;311790;18.58;3.65;16.77;-7.10;12.80;-22.50;-5.40;2530;25.05;25.20;0.85;80.30;31.70
345;ORLY;O'Reilly Automotive Inc.;Services;Auto Parts Stores;USA;41230;29.75;11.16;28.79;21.70;26.90;28.00;10.10;98.26;1.00;39.60;0.65;51.70;11.10
346;OXY;Occidental Petroleum Corporation;Basic Materials;Independent Oil & Gas;USA;32600;-;1.77;-;-102.90;-15.40;-119.60;-37.60;765.08;0.30;1.00;0.20;61.50;2.30
347;PAYX;Paychex, Inc.;Services;Staffing & Outsourcing Services;USA;52170;26.65;9.37;75.19;9.60;2.90;4.50;8.30;324.52;10.40;36.30;0.00;69.50;24.30
348;PBCT;People's United Financial Inc.;Financial;Savings & Loans;USA;0750;19.06;1.05;-;13.50;22.90;11.10;1.90;306.41;0.80;5.50;0.22;-;24.80
349;PBI;Pitney Bowes Inc.;Consumer Goods;Business Equipment;USA;3240;12.91;79.37;14.03;3.50;-6.70;90.50;-5.00;201.11;0.30;214.20;56.53;56.00;9.80
350;PCAR;PACCAR Inc.;Consumer Goods;Trucks & Other Vehicles;USA;82220;15.65;3.39;-;15.80;65.20;37.70;10.30;346.26;0.60;21.00;1.21;18.00;7.50
351;PCG;PG&E Corporation;Utilities;Electric Utilities;USA;81230;18.93;1.51;-;67.20;-0.90;-87.80;0.20;479.57;0.20;8.00;1.01;63.30;7.30
352;PCL;Plum Creek Timber Co. Inc.;Industrial Goods;Lumber, Wood Production;USA;1870;31.92;4.44;46.90;-6.90;-3.40;41.20;28.10;174.94;0.50;13.40;2.01;30.70;14.40
353;PCLN;The Priceline Group Inc.;Services;Business Services;USA;57590;25.09;6.91;21.18;26.50;35.80;1.80;12.10;51.63;0.60;28.70;0.61;90.80;28.10
354;PCP;Precision Castparts Corp.;Industrial Goods;Metal Fabrication;USA;23280;19.03;2.61;22.95;-9.90;10.60;-67.10;-0.50;137.88;0.24;13.30;0.42;32.50;15.30
355;PDCO;Patterson Companies, Inc.;Services;Medical Equipment Wholesale;USA;0250;22.64;3.31;72.86;-3.00;3.10;-1.80;-1.80;86.52;0.40;14.60;0.50;28.20;5.00
