country	iso	region	PI-Region	pi_score2012	pi_score2013	pi_score2014	pi_score2015	eco_score2012	eco_score2013	eco_score2014	eco_score2015	eo_score2012	eo_score2013	eo_score2014	eo_score2015	gov_score2012	gov_score2013	gov_score2014	gov_score2015	edu_score2012	edu_score2013	edu_score2014	edu_score2015	health_score2012	health_score2013	health_score2014	health_score2015	ss_score2012	ss_score2013	ss_score2014	ss_score2015	pf_score2012	pf_score2013	pf_score2014	pf_score2015	sk_score2012	sk_score2013	sk_score2014	sk_score2015
Afghanistan	AFG	Asia South	Asia-Pacific	-3.2249391078949	-2.92787289619446	-2.7166109085083	-2.94074153900146	-1.9312469959259	-2.38186407089233	-2.38416981697083	-2.38370084762573	-2.21677708625793	-1.59680604934692	-1.27345824241638	-1.30580830574036	-3.59785389900208	-3.5876669883728	-3.37677502632141	-3.38621401786804	-4.69602203369141	-4.30536079406738	-3.57574057579041	-4.01728439331055	-3.55770897865295	-3.12377905845642	-2.31992721557617	-2.55482053756714	-4.087327003479	-4.04986715316772	-3.38444089889526	-4.28729915618897	-3.12300395965576	-2.02965807914734	-2.02740931510925	-2.66323757171631	-2.58956909179687	-2.34797811508179	-3.39096713066101	-2.92756652832031
Albania	ALB	Eastern Europe	Europe	-0.778138518333435	-0.538914978504181	-0.506870210170746	-0.423830330371857	-0.661738812923431	-0.664328575134277	-0.924873411655426	-0.663838148117066	-0.538014709949494	-0.0112581998109818	0.109318450093269	0.481658518314362	-1.36969304084778	-1.30031502246857	-1.32240700721741	-1.27497017383575	-0.153267696499825	0.231762602925301	0.365798801183701	0.242361888289452	0.659085273742676	0.702087223529816	0.592763423919678	0.616384387016297	0.84734308719635	0.638934075832367	0.506287157535553	0.58526223897934	-2.26305603981018	-1.45756697654724	-1.33209872245789	-0.149787083268166	-2.74576592445374	-2.45063400268555	-2.04975032806396	-3.22771430015564
Algeria	DZA	MENA	MENA	-1.04611098766327	-0.876291811466217	-0.777929306030274	-0.689188718795776	0.860531091690064	0.538959324359894	1.0353946685791	1.21143126487732	-0.829128980636597	-0.632833123207092	-0.544647097587586	-0.468035280704498	-1.73101603984833	-1.59972095489502	-1.58881342411041	-1.50524568557739	-0.0777655988931656	0.0808079019188881	-0.226565331220627	-0.160406947135925	0.231219306588173	0.284567087888718	0.33569324016571	0.627914607524872	-1.4514080286026	-1.51173901557922	-1.04832851886749	-0.816429138183594	-3.61621403694153	-2.92245101928711	-2.91739845275879	-2.91739845275879	-1.75510501861572	-1.24792397022247	-1.26876962184906	-1.48534035682678
Angola	AGO	Africa Sub-Saharan	Africa Sub-Saharan	-2.44424390792847	-2.5869460105896	-2.5362114906311	-2.54675078392029	-1.69449698925018	-1.30911505222321	-0.636611640453339	-0.621578335762024	-2.19678401947021	-2.3591570854187	-2.32374000549316	-2.00519609451294	-2.0986270904541	-2.64172005653381	-2.33846020698547	-2.40495085716248	-3.47246098518372	-3.6727659702301	-3.97472739219666	-4.02040004730225	-3.68355107307434	-3.35532903671265	-3.18932628631592	-2.91840386390686	-2.80225205421448	-2.79807209968567	-2.39762449264526	-2.82751274108887	-1.46786797046661	-3.28045201301575	-2.78606557846069	-3.08308386802673	-2.13790893554687	-1.27895295619965	-2.64313578605652	-2.49288034439087
Argentina	ARG	America Latin and the Caribbean	The Americas	0.675873816013336	0.497505187988281	0.626501142978668	0.551123142242432	0.914604485034943	0.666335821151733	0.875683784484863	0.634235918521881	0.844449102878571	0.852839529514313	0.910579025745392	1.11068034172058	-0.904261410236359	-1.32465195655823	-1.45677006244659	-1.53100347518921	0.972822427749634	0.870289981365204	1.02043187618256	1.06750702857971	1.18198299407959	1.02642500400543	1.1423773765564	1.19663524627686	0.72482442855835	0.415380388498306	0.808445572853088	0.347135037183762	1.99037504196167	1.41250801086426	1.60533034801483	1.60569787025452	-0.317808002233505	0.0609154999256134	0.105931341648102	-0.0219028294086456
Armenia	ARM	Asia Western	Europe	-1.01987397670746	-0.796733915805817	-0.764002621173859	-0.646940886974335	-1.92999804019928	-1.33735704421997	-1.90526223182678	-1.32721638679504	-0.26765850186348	0.140961095690727	0.562079310417175	0.597343981266022	-1.43937194347382	-1.27754294872284	-1.28449821472168	-1.30511057376862	0.869767189025879	1.03960800170898	0.810841202735901	0.777153432369232	-0.91806572675705	-0.268069714307785	-0.186991840600967	-0.0734401941299439	-0.0297742001712322	-0.172832205891609	0.144650265574455	0.0598438680171967	-1.93580400943756	-1.78832805156708	-1.91204166412354	-1.60360491275787	-2.5080840587616	-2.7103099822998	-2.34079766273499	-2.30049610137939
Australia	AUS	Asia Pacific	Asia-Pacific	3.1556921005249	3.08703207969666	3.11136603355408	3.08829927444458	2.64970111846924	2.64189004898071	2.68962287902832	2.61755514144897	3.58486294746399	3.58588409423828	3.46875166893005	3.57283973693848	3.65488195419312	3.57628297805786	3.49221086502075	3.49031376838684	2.65130996704102	2.6865930557251	2.71365094184875	2.70020008087158	2.31031703948975	2.38205099105835	2.59722280502319	2.55486917495728	2.46082901954651	2.52013492584229	2.80386590957642	2.69048690795898	3.81797289848328	3.72034597396851	3.69663166999817	3.52026915550232	4.11565923690796	3.58307695388794	3.42897129058838	3.55986070632935
Austria	AUT	Europe	Europe	2.55970907211304	2.61317205429077	2.62912058830261	2.61309385299683	2.55560088157654	2.39198899269104	2.38256645202637	2.28101062774658	3.13730907440186	3.24221110343933	3.29292154312134	3.83180332183838	3.22956991195679	2.98314094543457	3.09208822250366	3.10077667236328	1.71209096908569	1.94745898246765	1.67032110691071	1.68650937080383	2.72581100463867	2.81702709197998	2.97742295265198	2.90530776977539	2.70075297355652	2.8813009262085	2.83182096481323	2.65422701835632	2.5016028881073	2.52310109138489	2.55691385269165	2.73306512832642	1.91493594646454	2.11914396286011	2.22890901565552	1.71205115318298
Azerbaijan	AZE	Asia Western	Europe	-0.822812020778656	-0.510199785232544	-0.436102747917175	-0.10357840359211	-0.470941692590714	0.7396399974823	0.568101644515991	1.1793292760849	0.0816413015127182	0.267308086156845	0.564503848552704	0.558174967765808	-1.96775197982788	-1.72648501396179	-1.62463140487671	-1.31572914123535	-0.438241213560104	-0.0975876972079277	-0.227113172411919	-0.163750916719437	-0.293343603610992	-0.520576179027557	-0.326284915208817	0.536980032920837	-0.74375981092453	-0.61404812335968	-0.551352202892303	-0.334729105234146	-1.70993995666504	-1.49089300632477	-1.18098175525665	-0.625937700271607	-1.04015898704529	-0.638956606388092	-0.711064040660858	-0.662964642047882
Bangladesh	BGD	Asia South	Asia-Pacific	-1.18624794483185	-1.20490694046021	-1.06663203239441	-1.00947189331055	-0.0650056004524231	-0.143207997083664	0.202891677618027	0.288311094045639	-1.33962297439575	-1.23347401618958	-1.09237313270569	-0.870904326438904	-1.45955097675324	-1.26054394245148	-1.31635069847107	-1.42727470397949	-1.54057502746582	-1.37628304958344	-1.06273686885834	-1.15886044502258	-1.34036195278168	-0.897086083889008	-0.846433341503143	-0.773952066898346	-1.98297798633575	-1.61116898059845	-1.57940483093262	-1.72633910179138	1.37290501594543	0.0614405982196331	0.678218245506287	0.781239151954651	-3.13478994369507	-3.17893195152283	-3.51686763763428	-3.18799495697021
